creator,country of citizenship,educated at,ethnic group,place of birth,place of burial,place of death,sex or gender,fonte_educated_at,confianca_educated_at,observacoes_pesquisa,batch_origem,fonte_place_of_birth,confianca_place_of_birth,acervo,source,onde estudou,nome da escola,datas em que estudou,fonte_onde_estudou,fonte_nome_escola,fonte_datas_estudo,confianca_preenchimento,museum_json,lat_birth,lon_birth,score_birth,lat_death,lon_death,score_death
José Rufino,,,,,,,,,,"A fonte disponível registra vínculo formativo com Franco Velasco, sem instituição formal nomeada.",,,,MAC,MAC,Salvador,formação com Franco Velasco,sem data exata na fonte,https://pt.wikipedia.org/wiki/Bento_Jos%C3%A9_Rufino_Capinam,https://pt.wikipedia.org/wiki/Bento_Jos%C3%A9_Rufino_Capinam,https://pt.wikipedia.org/wiki/Bento_Jos%C3%A9_Rufino_Capinam,media,Museu Nacional de Belas Artes,,,,,,
José Spaniol,Brazil,European Ceramics Work Center,,São Luiz Gonzaga,,,male,,,,,,,MAC; outros,MAC; outros,"São Paulo, Brasil; Düsseldorf, Alemanha",Fundação Armando Álvares Penteado (FAAP); Academia de Artes de Düsseldorf,1978–1983; 1990–1993,https://enciclopedia.itaucultural.org.br/pessoas/2833-jose-spaniol,https://enciclopedia.itaucultural.org.br/pessoas/2833-jose-spaniol,https://enciclopedia.itaucultural.org.br/pessoas/2833-jose-spaniol,alta,MAC USP,-28.4078903,-54.9614629,100.0,,,
Joy Laville,United Kingdom,Instituto Allende,,Ryde,,Cuernavaca,female,,,,,,,MAC,MAC,,,,,,,,,-33.826314331,151.098662674,100.0,18.930190802,-99.225949688,100.0
Jozef Cantré,Belgium,,,Ghent,,Ghent,male,,,,,,,MAC,MAC,,,,,,,,,51.074430543,3.725452562,100.0,51.074430543,3.725452562,100.0
Józef Pakulski,,,,Kyiv,,Warsaw,male,,,,,,,MAC,MAC,,,,,,,,,50.4497495,30.5237178,100.0,52.229827082,21.011731518,100.0
Józef Robakowski,Poland,Nicolaus Copernicus University in Toruń,,Poznań,,,male,,,,,,,MAC,MAC,,,,,,,,,52.410870377,16.938415328,100.0,,,
Juan Bercetche,,,,,,,,,,,,,,MAC,MAC,,,,,,,,,,,,,,
Juan Carlos Romero,Argentina,National University of La Plata,,Avellaneda,,,male,,,,,,,MAC,MAC,,,,,,,,,-34.661367,-58.36845,100.0,,,
Marcos Paley,,,,,,,,,,,,,,MAC,MAC,,,,,,,,,,,,,,
Juan Esteve,Spain,,,,,,male,,,,,,,MAC,MAC,,,,,,,,,,,,,,
Juan Giralt,Spain,,,Madrid,,Madrid,male,,,,,,,MAC,MAC,,,,,,,,,40.4166909,-3.7003454,100.0,40.4166909,-3.7003454,100.0
Juan José Balzi,Argentina,Brera Academy,,Buenos Aires,Araçá Cemetery,São Paulo,male,,,"As fontes indicam formação em desenho, pintura e publicidade artística.",,,,MAC; outros,MAC; outros,Buenos Aires (Argentina),Academia Nacional de Bellas Artes de Buenos Aires,1948-1956,https://enciclopedia.itaucultural.org.br/pessoas/9391-balzi | https://pt.wikipedia.org/wiki/Juan_Jos%C3%A9_Balzi,https://enciclopedia.itaucultural.org.br/pessoas/9391-balzi | https://pt.wikipedia.org/wiki/Juan_Jos%C3%A9_Balzi,https://pt.wikipedia.org/wiki/Juan_Jos%C3%A9_Balzi,alta,MAC USP,-34.6090264,-58.3732215,100.0,-23.5486657,-46.6382522,100.0
Juan Pablo Langlois,Chile,Pontifical Catholic University of Valparaíso,,Santiago,Parque del Recuerdo Cemetery,Santiago,male,,,instituição identificada em biografias sumárias,,,,MAC; outros,MAC; outros,"Santiago, Chile",Escuela de Bellas Artes de la Universidad de Chile,s.d.,fontes biográficas de referência,fontes biográficas de referência,fontes biográficas de referência,baixa,MAC USP,-33.4459946,-70.6670569,100.0,-33.4459946,-70.6670569,100.0
