educated at,coordinate location
National University of the Arts Prilidiano Pueyrredón,"-34.59472222,-58.39944444"
National University of Tres de Febrero,"-34.60166667,-58.52777778"
Netherlands Institute for Animated Film ,
New York Institute of Technology,"40.8080625,-73.6033125"
New York State College of Ceramics,"42.253261,-77.787486"
New York University,"40.73,-73.995"
New York University Abu Dhabi,"24.5239,54.4346"
New York University Tisch School of the Arts,"40.72922222,-73.99377778"
Nicolaus Copernicus University in Toruń,"53.0153,18.5722"
Nihon University,"35.691,139.73760833"
North Carolina Central University,"35.97645,-78.90092"
Northwestern University,"42.05645939999999,-87.67526699999999"
Nottingham Trent University,"52.9564,-1.15203"
NOVA School of Social Sciences and Humanities,"38.74049,-9.150902"
Nuestra Señora del Buen Consejo School,"43.13916667,-1.535"
OCAD University,"43.653055555556,-79.391194444444"
Ohio State University,"40,-83.0125"
"Open Studio, Amsterdam",
Open University of Catalonia,"41.406594,2.194429"
ORT University Mexico,"19.42063,-99.15591"
Paris 8 University,"48.944722222222,2.3633333333333"
Paris-Sorbonne University - Paris IV,"48.848333333333,2.3427777777778"
Parsons School of Design,"40.735277777778,-73.994166666667"
Parsons The New School,
Pavel Military School,
Peking University,"39.989722222222,116.30527777778"
Pennsylvania Academy of the Fine Arts,"39.955683,-75.163217"
Pennsylvania State University,"40.796111111111,-77.862777777778"
PennWest Edinboro,"41.87,-80.122"
Piet Zwart Institute,
Polytechnic University of Milan,"45.478030555555556,9.227319444444445"
Polytechnic University of Turin,"45.063094444444,7.661075"
Pompeu Fabra University,"41.379166666667,2.1795083333333"
Pontifical Catholic University of Chile,"-33.441148,-70.640694"
Pontifical Catholic University of Peru,"-12.069444444444445,-77.07944444444445"
Pontifical Catholic University of Rio de Janeiro,"-22.97868,-43.232819"
Pontifical Catholic University of Valparaíso,"-33.0447,-71.6056"
Pontifical Xavierian University,"4.62894444,-74.06485"
Pontifícia Universidade Católica de São Paulo,"-23.537889,-46.671122"
Pontifícia Universidade Católica do Rio Grande do Sul,"-30.05777778,-51.17444444"
Poznań University Institute of History,
Pratt Institute,"40.691111,-73.963889"
Princeton University,"40.345277777778,-74.656111111111"
Prussian Academy of Arts,
Purdue University,"40.425,-86.92305555555555"
Quasar Design University,
Queen's University,"44.225,-76.495"
Queen's University Belfast,"54.584166666667,-5.9347222222222"
Regional Conservatory of Lyon,"45.761,4.82234"
Reial Acadèmia de Belles Arts de Sant Carles de València,"39.445,-0.389444"
Reims Management School,"49.2389,4.00299"
Rensselaer Polytechnic Institute,"42.729014,-73.676728"
Rhode Island School of Design,"41.825833333333,-71.407777777778"
Ringling College of Art and Design,"27.3607,-82.5481"
Ritsumeikan University,"35.032579,135.724041"
RMIT University,"-37.80777777777778,144.96333333333334"
Royal Academy of Art,"52.08161111111111,4.319166666666667"
Royal Academy of Arts,"51.509166666667,-0.13944444444444"
Royal Academy of Arts of Liège,"50.6471815,5.5681264"
Royal Academy of Fine Arts,"51.2234,4.4069"
Royal Academy of Fine Arts of Brussels,"50.844,4.3477"
Royal Academy of Fine Arts of Gent,"51.045519,3.718608"
Royal Academy of Fine Arts of San Fernando,"40.4178,-3.7007"
Royal Central School of Speech and Drama,"51.54416666666667,-0.17416666666666666"
Royal College of Art,"51.501388888889,-0.17888888888889"
Royal Danish Academy of Fine Arts,"55.680277777777775,12.587222222222222"
Rubika,"50.37418867266314,3.523292769496986"
Ruhr University Bochum,"51.443888888889,7.2616666666667"
Rutgers University,"40.501666666667,-74.448055555556"
SAE Institute,
Salzburg University of Applied Sciences,"47.7237,13.087"
San Diego State University,"32.775277777778,-117.07222222222"
San Francisco Art Institute,"37.8035,-122.417"
Sandberg Institute,"52.34138888888889,4.860277777777777"
São Paulo School of Arts and Crafts,"-23.5331446,-46.6267577"
São Paulo State University,"-22.8172,-47.0694"
Sapienza University of Rome,"41.903333333333,12.515833333333"
Savannah College of Art and Design,"32.073,-81.0961"
School of Cinematic Arts Station,"34.0241631,-118.2800958"
School of Fine Arts of Rennes,
School of St. Thomas Aquinas of the Piarist Schools of Zaragoza,"41.654588,-0.884784"
School of the Art Institute of Chicago,"41.879444444444,-87.623888888889"
School of the Circle of Fine Arts,
School of the Museum of Fine Arts,"42.3386,-71.0968"
School of Visual Arts,"40.73861111,-73.98222222"
School Yehuda Pen in Vitebsk,
"Scuola del Libro, Urbino; School of Cinema Television and New Media Luchino Visconti, Milan",
Seikei University,"35.71123,139.573145"
Seneca Polytechnic,"43.79395,-79.349047222222"
Serviço Nacional de Aprendizagem Comercial,
Shanghai Institute of Visual Art,"31.048,121.202"
Shanghai University,"31.316666666666666,121.38888888888889"
Shariaty Technical College,"35.62037376586496,51.399823250684136"
Shenzhen University,"22.539256,113.933684"
Sheridan College,"43.46888888888889,-79.7"
Sibelius Academy,"60.17166666666667,24.9325"
Siemens Business School ,
Silesian University of Technology,"50.29077778,18.67491667"
Slade School of Fine Art,"51.525,-0.13444444444444445"
Smith College,"42.3175,-72.6375"
Sorbonne Nouvelle-Paris 3,"48.84488888888889,2.396988888888889"
St. Joost School of Art & Design,
Stanford University,"37.4275,-122.17"
State Academy of Fine Arts Stuttgart,
State University of Londrina,"-23.3253,-51.2"
State University of Music and Performing Arts Stuttgart,"48.778611,9.185833"
Stefan Batory Gymnasium and Lyceum,"52.222859,21.034965"
Stony Brook University,"40.9173205,-73.1245537"
Sudbury Grammar School,"52.0375,0.7266"
Supinfocom,
Supinfocom Arles (atual MoPA),
Supinfocom Arles (atual MOPA),
Supinfocom Rubika,
Supinfocom Rubika School,
Supinfocom Valenciennes,
Surikov State Academic Institute of Fine Arts,"55.74369444,37.66647222"
"Surrey Institute of Art & Design, University College","51.216,-0.806"
Syracuse University,"43.037638888889,-76.134"
Taipei National University of the Arts,"25.13406,121.47038"
Tama Art University,"35.611933666075636,139.35045408465814"
Tarbes Higher School of Arts and Ceramics,"43.23642,0.074619"
Teatro Nuovo Ballet Academy of Turin ,
Technical University of Madrid,"40.449167,-3.728056"
Technical University of Valencia,"39.48088957948802,-0.3411099306510339"
Tel Aviv University,"32.1125,34.805"
The Animation Workshop,"56.4561,9.40611"
The Art Institute of Fort Lauderdale,"26.1,-80.122"
The Catholic University of America,"38.93361111111111,-76.99861111111112"
The Drawing Academy in Amsterdam,
The New School,"40.73534,-73.99704"
The Royal Danish Academy of Fine Arts School of Visual Arts,"55.6801,12.5874"
Théâtre national de Chaillot,"48.86229167,2.28815556"
Tokyo University of the Arts,"35.7195782,139.7726862"
Tomas Baťa University in Zlín,"49.222655555556,17.664855555556"
Toronto School of Art,
Tshwane University of Technology,"-25.7322,28.1617"
TU Dresden,"51.028055555555554,13.726666666666667"
Tufts University,"42.406949,-71.11982"
Tunis Institute of Fine Arts,"36.820884,10.180469"
Turku Arts Academy,
Tyler School of Art,"39.9832,-75.1536"
Ulster University,"55.1478,-6.67222"
Ulyanovsk State Technical University,"54.3512389,48.3897278"
Universidad de los Andes,"-33.404007,-70.507468"
Universidad Modelo,"21.0285,-89.5678"
Universidad Veracruzana,
Universidade Aberta de Portugal,"38.7176,-9.15205"
Universidade Católica Portuguesa - Braga,
Universidade Cesumar,
Universidade de Fortaleza,"-3.7687753,-38.478061"
Universidade Federal de Santa Maria,"-29.71735,-53.71705"
Universidade Federal de São Carlos,"21.98525,47.87996"
Universidade Federal do Paraná,"-25.428888888889,-49.2675"
Universidade Municipal de São Caetano do Sul,
Università Cattolica; SDA Bocconi; Conservatorio Giuseppe Verdi di Milano; Conservatorio Arrigo Boito di Parma,
Università degli Studi Roma Tre,"41.8625,12.47888888888889"
Université de Moncton,"46.105,-64.7819"
Université de Montréal,"45.50414,-73.61433"
Université du Québec à Chicoutimi,"48.42,-71.0525"
Université du Québec à Montréal,"45.513888888889,-73.560277777778"
University at Buffalo,"43,-78.78916666666667"
University College London,"51.52472222222222,-0.13361111111111112"
University of Akron,"41.0752,-81.5115"
University of Alabama at Birmingham,"33.5,-86.8075"
University of Algarve,"37.0224,-7.92764"
University of Amsterdam,"52.368333333333,4.8902777777778"
University of Applied Arts Vienna,"48.208419444444445,16.382219444444445"
University of Applied Sciences Offenburg,"48.4589,7.94278"
University of Art and Design Linz,"48.3066,14.2857"
University of Atlántico,"11.0191934,-74.8753886"
University of Barcelona,"41.386666666667,2.1638888888889"
University of Basel,"47.55852,7.58346"
University of Bergen,"60.388086111111,5.3228722222222"
University of Berlin,
University of Bern,"46.95,7.437"
University of Bologna,"44.493888888889,11.342777777778"
University of Bonn,"50.733888888889,7.1022222222222"
University of Brasília,"-15.761388888888888,-47.86638888888889"
University of Buenos Aires,"-34.599722222222,-58.373055555556"
University of Caldas,"5.05611,-75.4928"
"University of California, Berkeley","37.871944444444445,-122.25833333333334"
University of Cambridge,"52.205355979757925,0.11315726963968827"
University of Campinas,"-22.817222222222,-47.069444444444"
University of Chile,"-33.44454888888889,-70.65095388888889"
University of Cincinnati,"39.132777777777775,-84.51527777777778"
University of Colorado Boulder,"40.006666666667,-105.26722222222"
University of Cordoba,"37.8847,-4.78833"
University of Cuiabá,"-15.624294,-56.087167"
University of Denver,"39.678333,-104.962222"
University of Essex,"51.87845,0.94942"
University of Exeter,"50.736111111111114,-3.535"
University of Florida,"29.6475,-82.345"
University of Florida,"29.6475,-82.345"
University of Geneva,"46.19899,6.14446"
University of Gothenburg,"57.698333333333,11.971666666667"
University of Innsbruck,"47.263055555556,11.383888888889"
University of Ioannina,"39.62,20.84"
University of Iowa,"41.66166666666667,-91.5363888888889"
University of Lisbon,"38.7525,-9.1588888888889"
University of Liverpool,"53.406,-2.967"
University of Maine,"44.89944444,-68.66805556"
University of Maryland,"38.988055555555555,-76.9425"
"University of Maryland, Baltimore County","39.25555555555555,-76.71138888888889"
University of Massachusetts,
University of Michigan,"42.276944444444446,-83.73805555555556"
University of Minho,"41.451641618551236,-8.291789240848695"
University of Montana,"46.86,-113.98527777778"
University of Music and Performing Arts Graz,"47.0725,15.4503"
